arr1,arr2
0,19
250,19.9393458086073
500,20.8786916172147
750,21.818037425822
1000,22.2757386641072
1250,22.6177239981174
1500,22.9597093321276
1750,22.6737502491246
2000,22.3039305521038
2250,22.1593997951948
2500,23.0540719606692
2750,23.9487441261435
3000,26.6811114064084
3250,29.5251586126203
3500,31.3807650697823
3750,32.1716716070195
4000,32.9625781442566
4250,33.6200790600053
4500,34.5305032853845
4750,35.8048561732622
5000,37
5250,37
5500,37
5750,37.9061410807656
6000,39.1764699341784
6250,40.4467987875911
6500,42.4317253176819
6750,44.9679014141253
7000,47.5007470437509
7250,50.0201664903614
7500,52.539585936972
7750,55.0789855218391
8000,57.6228528641525
8250,59.8944934134933
8500,58.2846420013422
8750,56.674790589191
9000,61.2747925579998
9250,70.356161427052
9500,79.4375302961041
9750,86.2003370253813
10000,92.4813334496625
10250,98.7623298739436
10500,101.356789279119
10750,103.046544830659
11000,103.664971871758
11250,102.896106808931
11500,102.127241746105
11750,102.638693103399
12000,103.404046855785
12250,104.119867432593
12500,104.661429770028
12750,105.848286578701
13000,108.111429062999
13250,109.73350526513
13500,110.941173888299
13750,112.123777412417
14000,113.128074476196
14250,114.297487741191
14500,116.554514176352
14750,118.811540611513
15000,121.687254581389
15250,125.251072317386
15500,128
15750,128
16000,128
16250,128.638266660915
16500,129.521365328462
16750,130.50294865379
17000,131.601076769986
17250,132.251260957997
17500,132.645875938428
17750,133.166696092643
18000,134.791277040369
18250,136.415857988095
18500,137.975634433705
18750,136.996779921843
19000,136.017925409981
19250,136.805872786744
19500,137.62677852448
19750,137.507969687905
20000,136.605747875729
20250,136
20500,136
20750,136.375584519584
21000,137.195607429869
21250,138.011025425625
21500,138.589458237591
21750,139.118788731056
22000,139.528049974676
22250,139.937311218297
22500,139.576666603575
22750,139.076759740437
23000,139
23250,139
23500,139.131070346074
23750,139.868559388532
24000,140.60604843099
24250,141.474765718745
24500,142.493968985843
24750,142.797782454111
25000,142.396161395582
25250,142.017884889339
25500,143.333524381466
25750,144.530193968221
26000,145.604720988986
26250,146.67924800975
26500,145.408552715303
26750,143.139900875827
27000,140.87124903635
27250,139.287118258317
27500,140.926189144971
27750,143.90192172294
28000,149.416878292229
28250,154.931834861519
28500,160.155532357184
28750,162.075341323613
29000,163
29250,163
29500,162.719841719721
29750,160.551580840648
30000,158.383319961574
30250,156.215059082501
30500,157.103369132021
30750,157.832361814215
31000,157.206777908644
31250,156.581194003073
31500,156
31750,156
32000,155.899831866044
32250,155.428345757075
32500,155.094643743036
32750,156.129016625562
33000,157.114227897563
33250,157.837372492644
33500,158.560517087725
33750,158.840511156105
34000,158.433922947581
34250,158.027334739057
34500,156.932675859544
34750,155.788424204332
35000,155.236703201071
35250,155.997881207291
35500,156.759059213512
35750,156.740414769032
36000,156.360606171996
36250,156.090592525716
36500,157.882440171205
36750,159.674287816693
37000,160.608368057574
37250,159.1029156068
37500,157.597463156025
37750,156.09201070525
38000,161.220988888158
38250,166.781848076046
38500,172.062715376196
38750,173.080351745892
39000,174.217568349455
39250,176.477081801378
39500,178.7365952533
39750,177.65350223771
40000,176.129321816616
40250,174.915933030085
40500,174.591428946466
40750,174.266924862847
41000,174.133377501713
41250,174.885064367009
41500,175.636751232305
41750,174.706562215822
42000,172.203563155101
42250,169.932950708039
42500,167.877579324217
42750,165.822207940395
43000,165.614832579888
43250,166.639602895031
43500,167.664373210175
43750,168.637340374673
44000,169.585078360466
44250,170.53281634626
44500,171.746821301621
44750,173.219684761455
45000,174.692548221288
45250,173.639392683402
45500,171.919838269917
45750,170.200283856433
46000,168.480729442949
46250,166.408584122018
46500,164.199614928017
46750,162.023840661983
47000,167.653709213452
47250,173.283577764921
47500,178.91344631639
47750,183
48000,183
48250,183
48500,183
48750,182.358640165231
49000,181.582374458499
49250,180.865400178442
49500,180.326514454819
49750,180.575866157045
50000,182.037109255025
50250,183.498352353006
50500,185.194614604792
50750,187.013737803223
51000,189.152775776157
51250,191.670652291966
51500,194.188528807775
51750,196.240947855254
52000,197.099770582129
52250,197.958593309005
52500,198.931691543539
52750,199.910578471255
53000,200.889465398972
53250,200.345560106762
53500,199.607815027054
53750,198.870069947346
54000,198.132324867638
54250,187.282730964917
54500,174.223020798477
54750,161.835802304609
55000,159.272874659169
55250,156.709947013728
55500,154.147019368288
55750,154.98538399667
56000,156.030733238743
56250,157.072252033299
56500,158.064972137018
56750,159.057692240737
57000,160.061067569038
57250,161.263610401042
57500,162.466153233046
57750,163.668696065049
58000,170.396943281958
58250,179.226436910483
58500,188.055930539008
58750,196.885424167533
59000,201.919383503609
59250,206.903442598353
59500,211.887501693096
59750,213.191169981209
60000,213.437272918938
60250,213.683375856668
60500,213.929478794397
60750,197.676995318972
61000,174.797967097131
61250,151.91893887529
61500,127.095332581772
61750,95.2466964611556
62000,63.3980603405392
62250,31.5494242199228
62500,10.3086270404935
62750,24.745152531896
63000,39.1816780232985
63250,38.9078226457418
63500,7.35962967964256
63750,-24.1885632864567
